id,sender,receiver,date,subject,body,label
synthetic_0,internal@company.com,user@company.com,2026-03-02,Quick note,hi there Wait for my signal.,0
synthetic_1,internal@company.com,user@company.com,2026-03-02,Quick note,hi there Can we talk?,0
synthetic_2,internal@company.com,user@company.com,2026-03-02,Quick note,hey Let's catch up later.,0
synthetic_3,internal@company.com,user@company.com,2026-03-02,Quick note,hello Lunch?,0
synthetic_4,internal@company.com,user@company.com,2026-03-02,Quick note,good morning Can we talk?,0
synthetic_5,internal@company.com,user@company.com,2026-03-02,Quick note,"yo Got it, thanks!",0
synthetic_6,internal@company.com,user@company.com,2026-03-02,Quick note,hello Approved.,0
synthetic_7,internal@company.com,user@company.com,2026-03-02,Quick note,hey See you later.,0
synthetic_8,internal@company.com,user@company.com,2026-03-02,Quick note,hey I'll be there in 10 minutes.,0
synthetic_9,internal@company.com,user@company.com,2026-03-02,Quick note,good morning I'll be there in 10 minutes.,0
synthetic_10,internal@company.com,user@company.com,2026-03-02,Quick note,hi there Let's catch up later.,0
synthetic_11,internal@company.com,user@company.com,2026-03-02,Quick note,good morning Can we talk?,0
synthetic_12,internal@company.com,user@company.com,2026-03-02,Quick note,how's it going? Meeting at 5pm in the conference room.,0
synthetic_13,internal@company.com,user@company.com,2026-03-02,Quick note,yo Are you coming to the meeting?,0
synthetic_14,internal@company.com,user@company.com,2026-03-02,Quick note,hey Meeting at 5pm in the conference room.,0
synthetic_15,internal@company.com,user@company.com,2026-03-02,Quick note,how's it going? Can you send me the doc?,0
synthetic_16,internal@company.com,user@company.com,2026-03-02,Quick note,hey Can you send me the doc?,0
synthetic_17,internal@company.com,user@company.com,2026-03-02,Quick note,hello Can you send me the doc?,0
synthetic_18,internal@company.com,user@company.com,2026-03-02,Quick note,hello Are you coming to the meeting?,0
synthetic_19,internal@company.com,user@company.com,2026-03-02,Quick note,yo Meeting at 5pm in the conference room.,0
synthetic_20,internal@company.com,user@company.com,2026-03-02,Quick note,"hi there Got it, thanks!",0
synthetic_21,internal@company.com,user@company.com,2026-03-02,Quick note,yo Lunch?,0
synthetic_22,internal@company.com,user@company.com,2026-03-02,Quick note,"hey Got it, thanks!",0
synthetic_23,internal@company.com,user@company.com,2026-03-02,Quick note,hey Can you send me the doc?,0
synthetic_24,internal@company.com,user@company.com,2026-03-02,Quick note,how's it going? Are you coming to the meeting?,0
synthetic_25,internal@company.com,user@company.com,2026-03-02,Quick note,hey Thanks for the update.,0
synthetic_26,internal@company.com,user@company.com,2026-03-02,Quick note,good morning Rejected.,0
synthetic_27,internal@company.com,user@company.com,2026-03-02,Quick note,hello Let's catch up later.,0
synthetic_28,internal@company.com,user@company.com,2026-03-02,Quick note,hey Thanks for the update.,0
synthetic_29,internal@company.com,user@company.com,2026-03-02,Quick note,hello Wait for my signal.,0
synthetic_30,internal@company.com,user@company.com,2026-03-02,Quick note,hey Let's catch up later.,0
synthetic_31,internal@company.com,user@company.com,2026-03-02,Quick note,hi there Approved.,0
synthetic_32,internal@company.com,user@company.com,2026-03-02,Quick note,hello Can we talk?,0
synthetic_33,internal@company.com,user@company.com,2026-03-02,Quick note,hey what's up? See you later.,0
synthetic_34,internal@company.com,user@company.com,2026-03-02,Quick note,hey Please review this.,0
